日付,カテゴリ,名前,説明,URL
2026-08-31,エフェクト,CAMERA FX,カメラ映像をその場で加工するフィルター台。MATRIX・ASCII・GLITCH・THERMAL・KALEIDO・PIXEL を切り替える。,https://apaapaapaapaapa2006-source.github.io/oto-2/camera-fx/
2026-08-31,エフェクト,HAND//GLITCH,手の動きに反応して映像が裂けるグリッチエフェクト。3モードでノイズ量が変わる。,https://apaapaapaapaapa2006-source.github.io/oto-2/hand-glitch/
2026-09-01,ゲーム,HITOMOSHI,手に持った実物の色を灯芯にして、種火から行灯へ火を運ぶ。灯の前で止まらないと点かない。,https://apaapaapaapaapa2006-source.github.io/oto-2/hitomoshi/
2026-09-01,楽器,KYOMEI,部屋の物音が八本の弦を励起する共鳴器。カメラは光を見ていて、レンズを覆うと音が暗くなる。,https://apaapaapaapaapa2006-source.github.io/oto-2/kyomei/
2026-09-01,エフェクト,TOKI,今と数秒前が一枚に同居するスリットスキャン。手のあるところが「今」。握れば時間が止まる。,https://apaapaapaapaapa2006-source.github.io/oto-2/toki/
2026-09-02,ゲーム,KAGEE,行灯の紙に手で影絵の形を結ぶ。お題のけものを作って静止すると影が手からはがれて歩き出す。,https://apaapaapaapaapa2006-source.github.io/oto-2/kagee/
2026-09-02,楽器,IKI,マイクに吹いた息が管の空気になる笛。手の高さが音程で手の開きが音色。強く吹くとオクターブ跳ねる。,https://apaapaapaapaapa2006-source.github.io/oto-2/iki/
2026-09-02,エフェクト,AMITEN,カメラ映像を網点に分解して刷る印刷機。手が版を引っぱると見当がずれて色が裂ける。両手を合わせると一枚刷れる。,https://apaapaapaapaapa2006-source.github.io/oto-2/amiten/
2026-09-02,エフェクト,MINAMO,カメラ映像が水面の下に沈む。本物の波動方程式なので波は端で跳ね返って干渉する。じっとすると凪ぐ。,https://apaapaapaapaapa2006-source.github.io/oto-2/minamo/
2026-09-02,エフェクト,HAKUCHU,カメラを街へ向けると空もビルも白く飛んで退色したスキャンの色になる。構造のあるところだけ手描きの注釈が書き込まれる。,https://apaapaapaapaapa2006-source.github.io/oto-2/hakuchu/
2026-09-02,ゲーム,KINGYO,手のひらがポイになる夜店の金魚すくい。紙は浸けるほど濡れて破れるので浅場の魚を狙う。,https://apaapaapaapaapa2006-source.github.io/oto-2/kingyo/
